t_client_start,t_publish,t_vla_in,t_vla_out,success,error,x,y,z,qx,qy,qz,gw,prompt
521743108861577,521743117260617,521743115637619,521743115637619,True,hardcoded,0.5481634834507692,-0.04199866144465516,0.26088966782487066,0.9983380668513232,-0.05728939523732106,0.0016960315614885021,0.07900356501340866,HARD: pitch up
521743308855248,521743315345840,521743314329181,521743314329181,True,hardcoded,0.5511257213729669,-0.038228379434832545,0.2619459537819565,0.9985090395942932,-0.05372361469223034,0.007950539178280258,0.07900422066450119,HARD: pitch up
521743508802379,521743514655892,521743513705103,521743513705103,True,hardcoded,0.5545931255670267,-0.03305885372241764,0.2631637486402011,0.9986618276500846,-0.04916068871384972,0.015280190675415974,0.07900356501340866,HARD: pitch up
521743708807270,521743715253842,521743714192753,521743714192753,True,hardcoded,0.5577685603665327,-0.02812069149150282,0.2643300443738086,0.9987423048685624,-0.044768477123627894,0.022098667775532294,0.07900422066450119,HARD: pitch up
521743909320320,521743915220963,521743914205745,521743914205745,True,hardcoded,0.5607619051630799,-0.023399451014628994,0.2654982393294528,0.9987600077897311,-0.040465568385598456,0.028677259214643626,0.07900356501340866,HARD: pitch up
521744108808952,521744114615625,521744113608486,521744113608486,True,hardcoded,0.5640700739770871,-0.01895191452611233,0.2668590386775537,0.9986730308532024,-0.03642858465520385,0.036161776288412176,0.07900356501340866,HARD: pitch up
521744309655132,521744315946364,521744314997935,521744314997935,True,hardcoded,0.5671787793399389,-0.014756660552611964,0.26822251034405686,0.9985191367462235,-0.03264641510430493,0.04332275676365199,0.07900356501340866,HARD: pitch up
521744508799054,521744515017336,521744514124078,521744514124078,True,hardcoded,0.5700640561420683,-0.010536372562213419,0.26954689582020475,0.9983199991299637,-0.028880684922222254,0.05006397394451477,0.07900356501340866,HARD: pitch up
521744708831955,521744715013127,521744714110049,521744714110049,True,hardcoded,0.573009624444659,-0.006739820335934496,0.2709522883642389,0.9980346222160126,-0.02551929350711377,0.057082712408068725,0.07900356501340866,HARD: pitch up
521744908832776,521744915409908,521744914235899,521744914235899,True,hardcoded,0.575904225093454,-0.0031302686167264384,0.2724175503495147,0.9976840448085678,-0.022354537764414668,0.06409918687321679,0.07900356501340866,HARD: pitch up
521745108881097,521745115037879,521745114213660,521745114213660,True,hardcoded,0.5790752403151453,0.0005400295591891473,0.2740532436473582,0.9972193799969856,-0.019164315729505742,0.07188035353715176,0.07900356501340866,HARD: pitch up
521745308853588,521745315678169,521745314738130,521745314738130,True,hardcoded,0.5819791089468305,0.004064459270254098,0.27565188867288687,0.9967226412575667,-0.016132643348062938,0.07913675017412147,0.07900356501340866,HARD: pitch up
521745508805168,521745514668741,521745513755752,521745513755752,True,hardcoded,0.5846239521390025,0.00715044643717178,0.27714847225374584,0.9962074834476896,-0.013506428485895814,0.08581975809161403,0.07900356501340866,HARD: pitch up
521745708799149,521745714424102,521745713521234,521745713521234,True,hardcoded,0.5875771466970401,0.010141405690798879,0.27889896312627893,0.9955570742306454,-0.010990402087199622,0.09337787317209804,0.07900422066450119,HARD: pitch up
521745908868250,521745915250762,521745914301774,521745914301774,True,hardcoded,0.5902357332791675,0.01280773345065359,0.28051784078879827,0.9949092506014658,-0.00877127638068037,0.10024802380061078,0.07900356501340866,HARD: pitch up
521746108829461,521746114611584,521746113741635,521746113741635,True,hardcoded,0.592874091516255,0.015797899135872567,0.282197534016984,0.9942028072665207,-0.006298625594934433,0.10718513251805818,0.07900356501340866,HARD: pitch up
