t_client_start,t_publish,t_vla_in,t_vla_out,success,error,x,y,z,qx,qy,qz,gw,prompt
522741023506218,522741175732281,522741040414768,522741174233341,True,,0.45037925942977475,-0.1824622813225008,0.14275676921625433,0.965509096532492,-0.11059857016608686,-0.18193114939736152,0.08,put the duplo brick into the box
522742024498706,522742168582808,522742032387736,522742167063248,True,,0.4551138366999374,-0.17056661993791927,0.14223273394762098,0.9689524331041245,-0.09895598583940664,-0.19241729894089238,0.08,put the duplo brick into the box
522743025054163,522743168779814,522743032375623,522743167396564,True,,0.4588650024167925,-0.16006373648622427,0.1420524574685096,0.9706913111923905,-0.08687566019703913,-0.19668043305805485,0.08,put the duplo brick into the box
522744025669477,522744169081829,522744032719147,522744167719979,True,,0.4620590471704867,-0.15075825391270625,0.14219750950194088,0.9717242423219349,-0.07658600847640216,-0.19829225549924687,0.08,put the duplo brick into the box
522745026494629,522745172092421,522745033663580,522745170785151,True,,0.46464901301424255,-0.14261092858556948,0.14223562117230443,0.9724123648379791,-0.06788044908592535,-0.19932230351314456,0.08,put the duplo brick into the box
522746027338130,522746168631871,522746034418360,522746167332831,True,,0.4666319995021291,-0.13598582840918527,0.1422347313135188,0.9728709467176826,-0.06095730659230254,-0.20002916822815506,0.08,put the duplo brick into the box
522747028372689,522747173925590,522747035971189,522747172443230,True,,0.4683671400627495,-0.12988460302569338,0.14223485605254968,0.9732484146356772,-0.054607379602950215,-0.20067143570888385,0.08,put the duplo brick into the box
522748028976455,522748173580006,522748036084355,522748172097886,True,,0.4698175458825568,-0.12452013832277394,0.14222699918790752,0.9735397544893699,-0.04905336755002517,-0.20122125349340325,0.08,put the duplo brick into the box
522749022853590,522749165508000,522749029886150,522749164015500,True,,0.4710908779046105,-0.11960410524472365,0.14222096175419763,0.9737779409488855,-0.04397533302841498,-0.20171437678188506,0.08,put the duplo brick into the box
522750022887093,522750165948773,522750030161643,522750164414463,True,,0.47203680566959594,-0.1157904753856486,0.1422116576244725,0.9739421113764185,-0.040049518274516076,-0.2020983347178269,0.08,put the duplo brick into the box
