t_client_start,t_publish,t_vla_in,t_vla_out,success,error,x,y,z,qx,qy,qz,gw,prompt
526894208129788,526894359469291,526894224601199,526894357936376,True,,0.5162811476689586,0.03216815340146813,0.17721345624318713,0.9989735932562458,-0.04071454311166063,-0.004576481918843191,0.08,put the duplo brick into the box
526894408037588,526894550210128,526894414405979,526894548953261,True,,0.5161034985276204,0.0317803836173922,0.17711652740455636,0.9988890884102711,-0.04262179947489371,-0.004963887361270972,0.08,put the duplo brick into the box
526894608043527,526894750229727,526894614441308,526894749083310,True,,0.510705623261888,0.07166228220322686,0.17862639827094945,0.9990269102892123,-0.033152918327859916,-0.018932029749547642,0.08,put the duplo brick into the box
526894808081266,526894950117386,526894814462507,526894949067100,True,,0.5162577278060954,0.08510012477785872,0.180297634981841,0.9999038543122252,-0.007368880102895034,-0.010596574362351438,0.08,put the duplo brick into the box
526895008036756,526895151758721,526895014355847,526895150456325,True,,0.5065686907413989,0.0970988374613545,0.1766896321418661,0.9995683503374797,-0.017907375698640773,-0.021016453533085844,0.08,put the duplo brick into the box
526895208042415,526895350900924,526895214610756,526895349756717,True,,0.5027942789168436,0.10353933464936801,0.1811135207559004,0.9988861579317637,0.03932255536847481,-0.024768737956417975,0.08,put the duplo brick into the box
526895408038355,526895549939997,526895414267007,526895548854570,True,,0.5008086358928512,0.07371495918355074,0.19226158018633724,0.9996974837639232,-0.021726434968141854,0.006596287318114487,0.08,put the duplo brick into the box
526895608042895,526895750648454,526895614806075,526895749501128,True,,0.502243423962052,0.12231870570677929,0.19057000802611393,0.9994800578467807,0.027867232043122907,-0.014691647396399513,0.08,put the duplo brick into the box
526895808055975,526895949595227,526895814417786,526895948522241,True,,0.5052103049159251,0.13115007980128765,0.19852854149760507,0.9998850405040326,0.014080615235401724,-0.0009330056659764378,0.08,put the duplo brick into the box
526896008048775,526896150755705,526896014648906,526896149531568,True,,0.5067523233356213,0.12455553660635348,0.19811359603343617,0.9991288947680694,0.04081128044815119,-0.00663390518451982,0.08,put the duplo brick into the box
526896208038646,526896349793288,526896214376817,526896348533692,True,,0.49356214928116127,0.10180093812350838,0.1927207089508044,0.9998156987957141,0.004067820692552595,0.0005044404263573211,0.08,put the duplo brick into the box
526896408053766,526896550494686,526896414329188,526896549403840,True,,0.4924521507290794,0.10014923649624996,0.1933865615793236,0.9998067627460272,-0.012678397729910189,0.0010966645398569567,0.08,put the duplo brick into the box
526896608055147,526896750531297,526896614181049,526896749360420,True,,0.48969594838212493,0.07953396602081803,0.2014203451309089,0.9997552315743163,-0.002068047307366845,-0.007383043240818036,0.08,put the duplo brick into the box
526896808043237,526896950026549,526896814309589,526896948871822,True,,0.49363160038030907,0.12158071219877176,0.1940816324224757,0.9994330855337159,0.015963510641498334,-0.026099999448872042,0.08,put the duplo brick into the box
526897008052978,526897150161600,526897014253850,526897149065143,True,,0.49289320404967474,0.0631062959810739,0.20057003427106931,0.9995649371550008,0.018140723145511514,-0.013185333417495112,0.08,put the duplo brick into the box
526897208081549,526897350224161,526897214377820,526897349151534,True,,0.5060436998346354,0.08639706305033955,0.20698606035480674,0.9997140672408619,-0.01951251557742994,-0.0135934729058813,0.08,put the duplo brick into the box
526897408074410,526897550378771,526897414237302,526897549360944,True,,0.5038729759538119,0.060406221649448366,0.20179744224419244,0.9992683564151745,-0.028260820949812165,-0.012863454924349909,0.08,put the duplo brick into the box
526897608054281,526897750315493,526897614055684,526897749191576,True,,0.49449420907046615,0.09962545237665477,0.2044645592540964,0.9998577001487743,-0.00026655365575507453,-0.016853494090744072,0.08,put the duplo brick into the box
526897808046002,526897951953099,526897814483163,526897950892702,True,,0.5011987005593974,0.08729297083832498,0.21037947890927103,0.9998793625435592,-0.002095325565215543,-0.015337182477899163,0.08,put the duplo brick into the box
526898008047864,526898152517979,526898015049963,526898151118973,True,,0.49184192168196617,0.13103084616510535,0.1908685587284338,0.99826545390794,0.04845519637887547,-0.0328692401238156,0.08,put the duplo brick into the box
526898208063276,526898351043545,526898214894416,526898349844479,True,,0.4951181457595458,0.13354774400007147,0.20685083577476707,0.9991773131551099,0.03344167806953739,-0.022940634671207508,0.08,put the duplo brick into the box
526898408052827,526898549679071,526898414304139,526898548619854,True,,0.4933922214568502,0.10497607602556835,0.2016089202677751,0.9995603380509376,0.010980139123454316,-0.027503351191562057,0.08,put the duplo brick into the box
526898608041039,526898750529370,526898614290191,526898749302744,True,,0.4997769219659881,0.10876189474037555,0.2021244540142163,0.9998870754822105,0.00396388027213189,-0.014246958011402565,0.08,put the duplo brick into the box
526898808054051,526898950174293,526898814209573,526898949050316,True,,0.5050698552060934,0.08888593608509066,0.20132297473735666,0.9988959214491725,-0.03369029425384119,-0.030575253609889733,0.08,put the duplo brick into the box
526899008056753,526899150068275,526899014246735,526899148989109,True,,0.4883234842087001,0.1275980900052461,0.20471198696203532,0.9986775565987643,-0.029713204603847982,-0.039252977297832836,0.08,put the duplo brick into the box
